"Reference","Value","Manufacturer","MPN","Qty"
"U3","AP62201WU-7","Diodes Incorporated","AP62201WU-7","1"
"U2","ESP32-WROOM-32UE","Espressif Systems","ESP32-WROOM-32UE","1"
"U1","CP2102N-A02-GQFN28","Silicon Labs","CP2102N-A02-GQFN28","1"
"S1,S2","PTS636 SL50 SMTR LFS","C & K COMPONENTS","PTS636 SL50 SMTR LFS","2"
"R24,R25","5.11k","Vishay Dale","CRCW06035K11FKEAC","2"
"R20","255","Vishay Dale","CRCW0603255RFKEAC","1"
"R19","31.6k","Vishay Dale","CRCW060331K6FKEAC","1"
"R12","47.5k","Vishay Dale","CRCW060347K5FKEAC","1"
"R11","22.1k","Vishay Dale","CRCW060322K1FKEAC","1"
"R8","1.00k","Vishay Dale","CRCW06031K00FKEAC","1"
"R4,R18","100k","Vishay Dale","CRCW0603100KFKEAC","2"
"R3","26.1k","Vishay Dale","CRCW060326K1FKEAC","1"
"R2,R5,R6,R7,R9,R10,R15,R16,R21","10k","Vishay Dale","CRCW060310K0FKEAC","9"
"R1,R13,R14,R17,R22,R23,R26","0","Vishay Dale","CRCW06030000Z0EAC","7"
"Q1,Q2","SS8050-G","Comchip","SS8050-G","2"
"L1","3.6u","Taiyo Yuden","LSXNH8080YBL3R3NJG","1"
"J6,J7","B3B-PH-SM4-TB","JST","B3B-PH-SM4-TB","2"
"J5","2011-1X02G00SD025B","Oupiin","2011-1X02G00SD025B","1"
"J3,J4","BM04B-SRSS-TB","JST","BM04B-SRSS-TB","2"
"J2","GSB1CA11101DSHR","Amphenol","GSB1CA11101DSHR","1"
"J1,J8","-- mixed values --","-- mixed values --","TSW-108-07-T-T","2"
"D5","WL-SMCW_0603","Würth Elektronik","150060VS75000","1"
"D4","LESD5Z5.0T1G","Leshan Radio Co.","LESD5Z5.0T1G","1"
"D2,D3","LESD5D5.0CT1G","Leshan Radio Co.","LESD5D5.0CT1G","2"
"D1","BAT760-7","Diodes Inc","BAT760-7","1"
"C9","10u","Samsung Electro-Mechanics","CL21A106KOQNNNE","1"
"C8","0.33u","Samsung Electro-Mechanics","CL10B334KO8NNNC","1"
"C4,C11,C12","22u","Samsung Electro-Mechanics","CL21A226MOCLRNC","3"
"C2","4.7u","Samsung Electro-Mechanics","CL10A475KP8NNNC","1"
"C1,C3,C5,C6,C7,C10","0.1u","YAGEO","CC0603KRX7R7BB104","6"
